dep;semaine_glissante;pop;P;T
01;2021-01-20-2021-01-26;656955;1570;15610
01;2021-01-21-2021-01-27;656955;1570;15703
01;2021-01-22-2021-01-28;656955;1566;16472
01;2021-01-23-2021-01-29;656955;1608;17224
01;2021-01-24-2021-01-30;656955;1613;17375
01;2021-01-25-2021-01-31;656955;1607;17398
01;2021-01-26-2021-02-01;656955;1618;18212
01;2021-01-27-2021-02-02;656955;1589;18648
01;2021-01-28-2021-02-03;656955;1642;19586
01;2021-01-29-2021-02-04;656955;1668;20380
01;2021-01-30-2021-02-05;656955;1641;20649
01;2021-01-31-2021-02-06;656955;1600;20717
01;2021-02-01-2021-02-07;656955;1594;20708
01;2021-02-02-2021-02-08;656955;1472;19798
01;2021-02-03-2021-02-09;656955;1472;19048
01;2021-02-04-2021-02-10;656955;1417;18222
01;2021-02-05-2021-02-11;656955;1358;17201
01;2021-02-06-2021-02-12;656955;1314;16450
01;2021-02-07-2021-02-13;656955;1313;16378
01;2021-02-08-2021-02-14;656955;1314;16349
01;2021-02-09-2021-02-15;656955;1328;15808
01;2021-02-10-2021-02-16;656955;1273;15391
01;2021-02-11-2021-02-17;656955;1236;14733
01;2021-02-12-2021-02-18;656955;1257;14105
01;2021-02-13-2021-02-19;656955;1254;13591
01;2021-02-14-2021-02-20;656955;1261;13329
01;2021-02-15-2021-02-21;656955;1270;13339
01;2021-02-16-2021-02-22;656955;1315;13308
01;2021-02-17-2021-02-23;656955;1330;13978
01;2021-02-18-2021-02-24;656955;1379;14225
01;2021-02-19-2021-02-25;656955;1354;15035
01;2021-02-20-2021-02-26;656955;1374;16035
01;2021-02-21-2021-02-27;656955;1372;16193
01;2021-02-22-2021-02-28;656955;1358;16200
01;2021-02-23-2021-03-01;656955;1288;16738
01;2021-02-24-2021-03-02;656955;1242;16899
01;2021-02-25-2021-03-03;656955;1176;17005
01;2021-02-26-2021-03-04;656955;1141;17155
01;2021-02-27-2021-03-05;656955;1113;16918
01;2021-02-28-2021-03-06;656955;1111;16937
01;2021-03-01-2021-03-07;656955;1114;17001
01;2021-03-02-2021-03-08;656955;1121;17289
01;2021-03-03-2021-03-09;656955;1170;17704
01;2021-03-04-2021-03-10;656955;1180;18280
01;2021-03-05-2021-03-11;656955;1233;19075
01;2021-03-06-2021-03-12;656955;1296;20402
01;2021-03-07-2021-03-13;656955;1320;20648
01;2021-03-08-2021-03-14;656955;1331;20699
01;2021-03-09-2021-03-15;656955;1405;21138
01;2021-03-10-2021-03-16;656955;1501;21780
01;2021-03-11-2021-03-17;656955;1557;22020
01;2021-03-12-2021-03-18;656955;1624;22590
01;2021-03-13-2021-03-19;656955;1670;22779
01;2021-03-14-2021-03-20;656955;1707;23096
01;2021-03-15-2021-03-21;656955;1711;23082
01;2021-03-16-2021-03-22;656955;1789;23228
01;2021-03-17-2021-03-23;656955;1806;24300
01;2021-03-18-2021-03-24;656955;1929;25190
01;2021-03-19-2021-03-25;656955;2023;25816
01;2021-03-20-2021-03-26;656955;2151;26455
01;2021-03-21-2021-03-27;656955;2203;26842
01;2021-03-22-2021-03-28;656955;2205;26868
01;2021-03-23-2021-03-29;656955;2327;28219
01;2021-03-24-2021-03-30;656955;2439;28856
01;2021-03-25-2021-03-31;656955;2503;29444
01;2021-03-26-2021-04-01;656955;2617;31173
01;2021-03-27-2021-04-02;656955;2640;32381
01;2021-03-28-2021-04-03;656955;2654;32937
01;2021-03-29-2021-04-04;656955;2661;32974
01;2021-03-30-2021-04-05;656955;2167;27438
01;2021-03-31-2021-04-06;656955;2302;26454
01;2021-04-01-2021-04-07;656955;2273;25825
01;2021-04-02-2021-04-08;656955;2134;23243
01;2021-04-03-2021-04-09;656955;2069;20830
01;2021-04-04-2021-04-10;656955;2059;20047
01;2021-04-05-2021-04-11;656955;2061;20015
01;2021-04-06-2021-04-12;656955;2494;23091
01;2021-04-07-2021-04-13;656955;2238;20847
01;2021-04-08-2021-04-14;656955;2199;19665
01;2021-04-09-2021-04-15;656955;2182;19019
01;2021-04-10-2021-04-16;656955;2096;18254
01;2021-04-11-2021-04-17;656955;2070;17938
01;2021-04-12-2021-04-18;656955;2058;17909
01;2021-04-13-2021-04-19;656955;2009;17136
01;2021-04-14-2021-04-20;656955;1974;16656
01;2021-04-15-2021-04-21;656955;1912;15967
01;2021-04-16-2021-04-22;656955;1844;15303
01;2021-04-17-2021-04-23;656955;1817;14736
01;2021-04-18-2021-04-24;656955;1778;14423
01;2021-04-19-2021-04-25;656955;1765;14303
01;2021-04-20-2021-04-26;656955;1720;14505
01;2021-04-21-2021-04-27;656955;1686;15394
01;2021-04-22-2021-04-28;656955;1618;15698
01;2021-04-23-2021-04-29;656955;1550;16280
01;2021-04-24-2021-04-30;656955;1472;17363
01;2021-04-25-2021-05-01;656955;1325;16272
01;2021-04-26-2021-05-02;656955;1331;16336
01;2021-04-27-2021-05-03;656955;1206;16716
01;2021-04-28-2021-05-04;656955;1141;17016
01;2021-04-29-2021-05-05;656955;1092;17634
01;2021-04-30-2021-05-06;656955;1030;18618
01;2021-05-01-2021-05-07;656955;999;20030
01;2021-05-02-2021-05-08;656955;1001;20055
01;2021-05-03-2021-05-09;656955;997;20056
01;2021-05-04-2021-05-10;656955;981;19635
01;2021-05-05-2021-05-11;656955;911;20230
01;2021-05-06-2021-05-12;656955;850;20473
02;2020-05-13-2020-05-19;526050;66;1976
02;2020-05-14-2020-05-20;526050;66;1923
02;2020-05-15-2020-05-21;526050;53;1495
02;2020-05-16-2020-05-22;526050;47;1417
02;2020-05-17-2020-05-23;526050;42;1354
02;2020-05-18-2020-05-24;526050;41;1308
02;2020-05-19-2020-05-25;526050;51;1223
02;2020-05-20-2020-05-26;526050;51;1318
02;2020-05-21-2020-05-27;526050;41;1381
02;2020-05-22-2020-05-28;526050;50;1656
02;2020-05-23-2020-05-29;526050;43;1692
02;2020-05-24-2020-05-30;526050;44;1731
02;2020-05-25-2020-05-31;526050;43;1731
02;2020-05-26-2020-06-01;526050;29;1522
02;2020-05-27-2020-06-02;526050;29;1386
02;2020-05-28-2020-06-03;526050;29;1328
02;2020-05-29-2020-06-04;526050;26;1201
02;2020-05-30-2020-06-05;526050;31;1161
02;2020-05-31-2020-06-06;526050;43;1157
02;2020-06-01-2020-06-07;526050;47;1165
02;2020-06-02-2020-06-08;526050;53;1411
02;2020-06-03-2020-06-09;526050;55;1460
02;2020-06-04-2020-06-10;526050;57;1416
02;2020-06-05-2020-06-11;526050;54;1455
02;2020-06-06-2020-06-12;526050;58;1544
02;2020-06-07-2020-06-13;526050;44;1520
02;2020-06-08-2020-06-14;526050;40;1519
02;2020-06-09-2020-06-15;526050;38;1495
02;2020-06-10-2020-06-16;526050;33;1513
02;2020-06-11-2020-06-17;526050;37;1585
02;2020-06-12-2020-06-18;526050;34;1541
02;2020-06-13-2020-06-19;526050;24;1402
02;2020-06-14-2020-06-20;526050;24;1425
02;2020-06-15-2020-06-21;526050;24;1424
02;2020-06-16-2020-06-22;526050;26;1630
02;2020-06-17-2020-06-23;526050;26;1770
02;2020-06-18-2020-06-24;526050;16;1706
02;2020-06-19-2020-06-25;526050;19;1727
