reg;semaine_glissante;pop;P;T;nom_region
01;2020-08-14-2020-08-20;376879;335;5967;Guadeloupe
01;2020-08-15-2020-08-21;376879;334;5940;Guadeloupe
01;2020-08-16-2020-08-22;376879;331;6112;Guadeloupe
01;2020-08-17-2020-08-23;376879;334;6204;Guadeloupe
01;2020-08-18-2020-08-24;376879;409;6524;Guadeloupe
01;2020-08-19-2020-08-25;376879;481;6539;Guadeloupe
01;2020-08-20-2020-08-26;376879;548;6753;Guadeloupe
01;2020-08-21-2020-08-27;376879;614;6821;Guadeloupe
01;2020-08-22-2020-08-28;376879;634;6985;Guadeloupe
01;2020-08-23-2020-08-29;376879;646;6957;Guadeloupe
01;2020-08-24-2020-08-30;376879;654;6884;Guadeloupe
01;2020-08-25-2020-08-31;376879;732;6391;Guadeloupe
01;2020-08-26-2020-09-01;376879;756;6176;Guadeloupe
01;2020-08-27-2020-09-02;376879;813;5723;Guadeloupe
01;2020-08-28-2020-09-03;376879;828;5671;Guadeloupe
01;2020-08-29-2020-09-04;376879;880;5487;Guadeloupe
01;2020-08-30-2020-09-05;376879;882;5347;Guadeloupe
01;2020-08-31-2020-09-06;376879;879;5303;Guadeloupe
01;2020-09-01-2020-09-07;376879;851;5277;Guadeloupe
01;2020-09-02-2020-09-08;376879;907;5248;Guadeloupe
01;2020-09-03-2020-09-09;376879;896;5402;Guadeloupe
01;2020-09-04-2020-09-10;376879;945;5338;Guadeloupe
01;2020-09-05-2020-09-11;376879;924;5250;Guadeloupe
01;2020-09-06-2020-09-12;376879;954;5254;Guadeloupe
01;2020-09-07-2020-09-13;376879;965;5263;Guadeloupe
01;2020-09-08-2020-09-14;376879;1017;5464;Guadeloupe
01;2020-09-09-2020-09-15;376879;1026;5621;Guadeloupe
01;2020-09-10-2020-09-16;376879;1081;5674;Guadeloupe
01;2020-09-11-2020-09-17;376879;1106;5657;Guadeloupe
01;2020-09-12-2020-09-18;376879;1143;5686;Guadeloupe
01;2020-09-13-2020-09-19;376879;1120;5643;Guadeloupe
01;2020-09-14-2020-09-20;376879;1134;5704;Guadeloupe
01;2020-09-15-2020-09-21;376879;1179;5603;Guadeloupe
01;2020-09-16-2020-09-22;376879;1190;5617;Guadeloupe
01;2020-09-17-2020-09-23;376879;1128;5439;Guadeloupe
01;2020-09-18-2020-09-24;376879;1092;5493;Guadeloupe
01;2020-09-19-2020-09-25;376879;1088;5480;Guadeloupe
01;2020-09-20-2020-09-26;376879;1091;5495;Guadeloupe
01;2020-09-21-2020-09-27;376879;1071;5460;Guadeloupe
01;2020-09-22-2020-09-28;376879;991;5303;Guadeloupe
01;2020-09-23-2020-09-29;376879;904;5119;Guadeloupe
01;2020-09-24-2020-09-30;376879;891;5117;Guadeloupe
01;2020-09-25-2020-10-01;376879;849;4818;Guadeloupe
01;2020-09-26-2020-10-02;376879;807;4715;Guadeloupe
01;2020-09-27-2020-10-03;376879;803;4695;Guadeloupe
01;2020-09-28-2020-10-04;376879;808;4694;Guadeloupe
01;2020-09-29-2020-10-05;376879;722;4441;Guadeloupe
01;2020-09-30-2020-10-06;376879;687;4168;Guadeloupe
01;2020-10-01-2020-10-07;376879;611;3904;Guadeloupe
01;2020-10-02-2020-10-08;376879;596;3797;Guadeloupe
01;2020-10-03-2020-10-09;376879;600;3827;Guadeloupe
01;2020-10-04-2020-10-10;376879;606;3844;Guadeloupe
01;2020-10-05-2020-10-11;376879;594;3821;Guadeloupe
01;2020-10-06-2020-10-12;376879;557;3698;Guadeloupe
01;2020-10-07-2020-10-13;376879;526;3677;Guadeloupe
01;2020-10-08-2020-10-14;376879;506;3614;Guadeloupe
