fra;semaine_glissante;pop;P;T
FR;2020-11-20-2020-11-26;67114995;82182;1226376
FR;2020-11-21-2020-11-27;67114995;78385;1202605
FR;2020-11-22-2020-11-28;67114995;77205;1198095
FR;2020-11-23-2020-11-29;67114995;76973;1197087
FR;2020-11-24-2020-11-30;67114995;75080;1174010
FR;2020-11-25-2020-12-01;67114995;73738;1158690
FR;2020-11-26-2020-12-02;67114995;72645;1144981
FR;2020-11-27-2020-12-03;67114995;72150;1138647
FR;2020-11-28-2020-12-04;67114995;72248;1140593
FR;2020-11-29-2020-12-05;67114995;72742;1147282
FR;2020-11-30-2020-12-06;67114995;72891;1149760
FR;2020-12-01-2020-12-07;67114995;73758;1161202
FR;2020-12-02-2020-12-08;67114995;74613;1185761
FR;2020-12-03-2020-12-09;67114995;75811;1211252
FR;2020-12-04-2020-12-10;67114995;77352;1238960
FR;2020-12-05-2020-12-11;67114995;78875;1276557
FR;2020-12-06-2020-12-12;67114995;80154;1305403
FR;2020-12-07-2020-12-13;67114995;80449;1313118
FR;2020-12-08-2020-12-14;67114995;83417;1375071
FR;2020-12-09-2020-12-15;67114995;86121;1462260
FR;2020-12-10-2020-12-16;67114995;88782;1592355
FR;2020-12-11-2020-12-17;67114995;91129;1767461
FR;2020-12-12-2020-12-18;67114995;94577;2024225
FR;2020-12-13-2020-12-19;67114995;97433;2227871
FR;2020-12-14-2020-12-20;67114995;99053;2310738
FR;2020-12-15-2020-12-21;67114995;100693;2647689
FR;2020-12-16-2020-12-22;67114995;103141;3065895
FR;2020-12-17-2020-12-23;67114995;104644;3453618
FR;2020-12-18-2020-12-24;67114995;101790;3571876
FR;2020-12-19-2020-12-25;67114995;85541;3127480
FR;2020-12-20-2020-12-26;67114995;84611;3014600
FR;2020-12-21-2020-12-27;67114995;83093;2945155
FR;2020-12-22-2020-12-28;67114995;84403;2654795
FR;2020-12-23-2020-12-29;67114995;86131;2281947
FR;2020-12-24-2020-12-30;67114995;89073;1959852
FR;2020-12-25-2020-12-31;67114995;92206;1805144
FR;2020-12-26-2021-01-01;67114995;92516;1800517
FR;2020-12-27-2021-01-02;67114995;96623;1807727
FR;2020-12-28-2021-01-03;67114995;97428;1806397
FR;2020-12-29-2021-01-04;67114995;103715;1824842
FR;2020-12-30-2021-01-05;67114995;106674;1803724
FR;2020-12-31-2021-01-06;67114995;107290;1723222
FR;2021-01-01-2021-01-07;67114995;110837;1717287
FR;2021-01-02-2021-01-08;67114995;129785;2024098
FR;2021-01-03-2021-01-09;67114995;127501;1985583
FR;2021-01-04-2021-01-10;67114995;127244;1980312
FR;2021-01-05-2021-01-11;67114995;126024;1938929
FR;2021-01-06-2021-01-12;67114995;124642;1932791
FR;2021-01-07-2021-01-13;67114995;125103;1933718
FR;2021-01-08-2021-01-14;67114995;126573;1933728
FR;2021-01-09-2021-01-15;67114995;128369;1938918
FR;2021-01-10-2021-01-16;67114995;129298;1950854
FR;2021-01-11-2021-01-17;67114995;129641;1952905
FR;2021-01-12-2021-01-18;67114995;132695;1939385
FR;2021-01-13-2021-01-19;67114995;135099;1937352
FR;2021-01-14-2021-01-20;67114995;136984;1946171
FR;2021-01-15-2021-01-21;67114995;138990;1968330
FR;2021-01-16-2021-01-22;67114995;141073;2003039
FR;2021-01-17-2021-01-23;67114995;142169;2007820
FR;2021-01-18-2021-01-24;67114995;142115;2005186
FR;2021-01-19-2021-01-25;67114995;143128;2026075
FR;2021-01-20-2021-01-26;67114995;142910;2046798
FR;2021-01-21-2021-01-27;67114995;142720;2068327
FR;2021-01-22-2021-01-28;67114995;143496;2116949
FR;2021-01-23-2021-01-29;67114995;143956;2154678
FR;2021-01-24-2021-01-30;67114995;144127;2172213
FR;2021-01-25-2021-01-31;67114995;144557;2173773
FR;2021-01-26-2021-02-01;67114995;144775;2172025
FR;2021-01-27-2021-02-02;67114995;145359;2196142
FR;2021-01-28-2021-02-03;67114995;144913;2206516
FR;2021-01-29-2021-02-04;67114995;143166;2204823
