fra;semaine;nb_pos;nb_crib;tx_crib;nb_A0;nb_A1;tx_A1;nb_C0;nb_C1;tx_C1;nb_D0;nb_D1;tx_D1;nb_A0C0;nb_A01C01;tx_A0C0
FR;2021-12-25-2021-12-31;1457053.00;514857.00;35.34;456164.00;1436.00;0.31;354354.00;117782.00;24.95;58090.00;193989.00;76.96;341391.00;456985.00;74.71
FR;2021-12-26-2022-01-01;1471701.00;517084.00;35.14;457578.00;1416.00;0.31;356755.00;117084.00;24.71;58006.00;195625.00;77.13;343504.00;458387.00;74.94
FR;2021-12-27-2022-01-02;1511393.00;523749.00;34.65;462633.00;1313.00;0.28;363491.00;116123.00;24.21;58055.00;200467.00;77.54;349532.00;463389.00;75.43
FR;2021-12-28-2022-01-03;1754191.00;549375.00;31.32;480018.00;760.00;0.16;398906.00;98678.00;19.83;53485.00;227116.00;80.94;384229.00;480367.00;79.99
FR;2021-12-29-2022-01-04;1906659.00;554742.00;29.09;478490.00;880.00;0.18;410960.00;84711.00;17.09;48622.00;241844.00;83.26;396508.00;479108.00;82.76
FR;2021-12-30-2022-01-05;2005050.00;540461.00;26.95;461594.00;894.00;0.19;406232.00;70677.00;14.82;43372.00;243529.00;84.88;393373.00;462259.00;85.10
FR;2021-12-31-2022-01-06;2065608.00;513412.00;24.86;431849.00;787.00;0.18;388130.00;56163.00;12.64;37778.00;240188.00;86.41;377693.00;432435.00;87.34
FR;2022-01-01-2022-01-07;2183773.00;513069.00;23.49;425707.00;803.00;0.19;387901.00;48511.00;11.12;34671.00;245079.00;87.61;378966.00;426334.00;88.89
FR;2022-01-02-2022-01-08;2431942.00;543026.00;22.33;449352.00;839.00;0.19;410271.00;49481.00;10.76;35729.00;262978.00;88.04;401669.00;450020.00;89.26
FR;2022-01-03-2022-01-09;2450861.00;535804.00;21.86;441885.00;842.00;0.19;403434.00;47611.00;10.56;34611.00;260496.00;88.27;396009.00;442557.00;89.48
FR;2022-01-04-2022-01-10;2492090.00;486807.00;19.53;396774.00;889.00;0.22;368697.00;34248.00;8.50;27621.00;250928.00;90.08;363769.00;397518.00;91.51
FR;2022-01-05-2022-01-11;2497295.00;445506.00;17.84;361101.00;577.00;0.16;339301.00;26653.00;7.28;23135.00;238100.00;91.14;335382.00;361546.00;92.76
FR;2022-01-06-2022-01-12;2549938.00;416558.00;16.34;336843.00;541.00;0.16;319816.00;21265.00;6.23;19321.00;236162.00;92.44;316304.00;337268.00;93.78
FR;2022-01-07-2022-01-13;2579850.00;400474.00;15.52;326234.00;526.00;0.16;312780.00;17785.00;5.38;16754.00;242897.00;93.55;309016.00;326634.00;94.61
FR;2022-01-08-2022-01-14;2627477.00;392294.00;14.93;321836.00;483.00;0.15;315179.00;14616.00;4.43;14317.00;253543.00;94.66;307715.00;322198.00;95.50
FR;2022-01-09-2022-01-15;2675511.00;392604.00;14.67;321725.00;479.00;0.15;319914.00;13268.00;3.98;13225.00;259536.00;95.15;308901.00;322069.00;95.91
FR;2022-01-10-2022-01-16;2701916.00;393446.00;14.56;321947.00;507.00;0.16;322955.00;13003.00;3.87;12914.00;261528.00;95.29;309413.00;322326.00;95.99
FR;2022-01-11-2022-01-17;2811554.00;399191.00;14.20;327464.00;451.00;0.14;336620.00;10780.00;3.10;11393.00;284733.00;96.15;317156.00;327805.00;96.75
