reg;nom_reg;semaine;nb_pos;nb_crib;tx_crib;nb_A0;nb_A1;tx_A1;nb_C0;nb_C1;tx_C1;nb_D0;nb_D1;tx_D1;nb_A0C0;nb_A01C01;tx_A0C0
84;Auvergne-Rhône-Alpes;2021-12-15-2021-12-21;80032.00;29991.00;37.47;28095.00;19.00;0.07;6155.00;22580.00;78.58;2676.00;609.00;18.54;5974.00;28107.00;21.25
84;Auvergne-Rhône-Alpes;2021-12-16-2021-12-22;85988.00;35663.00;41.47;33193.00;23.00;0.07;8924.00;25145.00;73.81;2890.00;1081.00;27.22;8670.00;33207.00;26.11
84;Auvergne-Rhône-Alpes;2021-12-17-2021-12-23;93458.00;41834.00;44.76;38877.00;21.00;0.05;12390.00;27579.00;69.00;3355.00;1885.00;35.97;12068.00;38889.00;31.03
84;Auvergne-Rhône-Alpes;2021-12-18-2021-12-24;98602.00;45134.00;45.77;41848.00;24.00;0.06;15019.00;28052.00;65.13;4061.00;2822.00;41.00;14607.00;41863.00;34.89
84;Auvergne-Rhône-Alpes;2021-12-19-2021-12-25;93817.00;43208.00;46.06;40014.00;22.00;0.05;14850.00;26362.00;63.97;4186.00;2972.00;41.52;14405.00;40026.00;35.99
84;Auvergne-Rhône-Alpes;2021-12-20-2021-12-26;96451.00;44054.00;45.68;40707.00;25.00;0.06;15459.00;26514.00;63.17;4294.00;3252.00;43.10;14944.00;40721.00;36.70
84;Auvergne-Rhône-Alpes;2021-12-21-2021-12-27;116401.00;54694.00;46.99;50659.00;38.00;0.07;25016.00;27053.00;51.96;6353.00;7112.00;52.82;24355.00;50682.00;48.05
84;Auvergne-Rhône-Alpes;2021-12-22-2021-12-28;134900.00;63399.00;47.00;58849.00;50.00;0.08;33788.00;26553.00;44.00;7835.00;11188.00;58.81;32983.00;58879.00;56.02
84;Auvergne-Rhône-Alpes;2021-12-23-2021-12-29;154152.00;71957.00;46.68;66898.00;51.00;0.08;42843.00;25654.00;37.45;9019.00;15650.00;63.44;41859.00;66913.00;62.56
84;Auvergne-Rhône-Alpes;2021-12-24-2021-12-30;173531.00;79564.00;45.85;73891.00;57.00;0.08;51289.00;24382.00;32.22;9761.00;20279.00;67.51;50094.00;73910.00;67.78
84;Auvergne-Rhône-Alpes;2021-12-25-2021-12-31;189089.00;83553.00;44.19;77432.00;72.00;0.09;56281.00;23144.00;29.14;9901.00;23405.00;70.27;54911.00;77465.00;70.88
84;Auvergne-Rhône-Alpes;2021-12-26-2022-01-01;190851.00;83630.00;43.82;77416.00;72.00;0.09;56473.00;23017.00;28.96;9811.00;23617.00;70.65;55042.00;77450.00;71.07
84;Auvergne-Rhône-Alpes;2021-12-27-2022-01-02;195297.00;84415.00;43.22;78121.00;70.00;0.09;57384.00;22867.00;28.49;9761.00;23909.00;71.01;55909.00;78154.00;71.54
84;Auvergne-Rhône-Alpes;2021-12-28-2022-01-03;223044.00;86124.00;38.61;79093.00;60.00;0.08;63007.00;18525.00;22.72;8471.00;26574.00;75.83;61207.00;79113.00;77.37
84;Auvergne-Rhône-Alpes;2021-12-29-2022-01-04;242708.00;85827.00;35.36;78187.00;49.00;0.06;65599.00;15344.00;18.96;7340.00;27298.00;78.81;63462.00;78204.00;81.15
84;Auvergne-Rhône-Alpes;2021-12-30-2022-01-05;255212.00;83336.00;32.65;75376.00;49.00;0.06;65750.00;12461.00;15.93;6119.00;27234.00;81.65;63516.00;75406.00;84.23
84;Auvergne-Rhône-Alpes;2021-12-31-2022-01-06;262850.00;77605.00;29.52;69591.00;42.00;0.06;62762.00;9530.00;13.18;4642.00;24675.00;84.17;60587.00;69615.00;87.03
84;Auvergne-Rhône-Alpes;2022-01-01-2022-01-07;279116.00;78195.00;28.02;69746.00;34.00;0.05;64029.00;8267.00;11.43;3858.00;23896.00;86.10;61965.00;69760.00;88.83
84;Auvergne-Rhône-Alpes;2022-01-02-2022-01-08;308492.00;82751.00;26.82;73832.00;35.00;0.05;67889.00;8507.00;11.14;3926.00;25298.00;86.57;65822.00;73847.00;89.13
84;Auvergne-Rhône-Alpes;2022-01-03-2022-01-09;311752.00;81475.00;26.13;72645.00;34.00;0.05;66972.00;8226.00;10.94;3826.00;25166.00;86.80;64902.00;72659.00;89.32
84;Auvergne-Rhône-Alpes;2022-01-04-2022-01-10;319084.00;75089.00;23.53;66460.00;28.00;0.04;62627.00;6053.00;8.81;2737.00;22832.00;89.30;60793.00;66472.00;91.46
84;Auvergne-Rhône-Alpes;2022-01-05-2022-01-11;321290.00;69666.00;21.68;61419.00;25.00;0.04;58569.00;4764.00;7.52;2160.00;21459.00;90.85;56984.00;61427.00;92.77
