reg;clage_vacsi;jour;n_tot_dose1;n_tot_complet;n_tot_rappel;n_tot_2_rappel;pop;couv_tot_dose1;couv_tot_complet;couv_tot_rappel;couv_tot_2_rappel
93;59;2022-04-28;624967;619384;503274;0;678493.0;92.1;91.3;74.2;0.0
93;09;2022-04-28;4323;3422;34;0;287789.0;1.5;1.2;0.0;0.0
93;64;2022-04-28;294221;292154;250839;6202;320248.0;91.9;91.2;78.3;1.9
93;69;2022-04-28;280741;278976;247605;7587;312538.0;89.8;89.3;79.2;2.4
93;74;2022-04-28;281922;280103;253072;9731;294561.0;95.7;95.1;85.9;3.3
93;79;2022-04-28;205064;203539;183644;16480;214958.0;95.4;94.7;85.4;7.7
93;80;2022-04-28;316694;311223;265363;45378;365644.0;86.6;85.1;72.6;12.4
94;04;2022-04-28;8;4;1;0;15663.0;0.1;0.0;0.0;0.0
94;11;2022-04-28;229;190;13;0;7566.0;3.0;2.5;0.2;0.0
94;17;2022-04-28;12411;11956;2122;0;20507.0;60.5;58.3;10.3;0.0
94;24;2022-04-28;17381;16950;10205;0;22692.0;76.6;74.7;45.0;0.0
94;29;2022-04-28;12291;11983;7145;0;17407.0;70.6;68.8;41.0;0.0
94;39;2022-04-28;30330;29726;18912;0;43624.0;69.5;68.1;43.4;0.0
94;49;2022-04-28;35079;34642;25473;0;45205.0;77.6;76.6;56.3;0.0
94;59;2022-04-28;41046;40684;33418;0;47970.0;85.6;84.8;69.7;0.0
94;09;2022-04-28;143;106;0;0;18081.0;0.8;0.6;0.0;0.0
94;64;2022-04-28;19457;19298;16745;328;22461.0;86.6;85.9;74.6;1.5
94;69;2022-04-28;18717;18586;16628;453;22634.0;82.7;82.1;73.5;2.0
94;74;2022-04-28;17390;17258;15650;604;20580.0;84.5;83.9;76.0;2.9
94;79;2022-04-28;12328;12248;11115;979;16105.0;76.5;76.1;69.0;6.1
94;80;2022-04-28;18878;18547;15977;2461;24184.0;78.1;76.7;66.1;10.2
01;0;2022-04-28;148210;142279;82552;0;376879.0;39.3;37.8;21.9;0.0
02;0;2022-04-28;148327;143104;87737;0;358749.0;41.3;39.9;24.5;0.0
03;0;2022-04-28;97620;88330;41381;0;290691.0;33.6;30.4;14.2;0.0
04;0;2022-04-28;574086;561152;348906;0;859959.0;66.8;65.3;40.6;0.0
06;0;2022-04-28;160325;137838;38260;0;279471.0;57.4;49.3;13.7;0.0
07;0;2022-04-28;8676;8369;5511;0;9961.0;87.1;84.0;55.3;0.0
08;0;2022-04-28;14361;13493;6214;0;35334.0;40.6;38.2;17.6;0.0
11;0;2022-04-28;9368027;9256797;6673421;0;12278210.0;76.3;75.4;54.4;0.0
24;0;2022-04-28;2072059;2051284;1617280;0;2559073.0;81.0;80.2;63.2;0.0
27;0;2022-04-28;2187133;2164839;1668010;0;2783039.0;78.6;77.8;59.9;0.0
28;0;2022-04-28;2727902;2700566;2130200;0;3303500.0;82.6;81.7;64.5;0.0
32;0;2022-04-28;4736044;4686738;3614240;0;5962662.0;79.4;78.6;60.6;0.0
44;0;2022-04-28;4314089;4269373;3302218;0;5511747.0;78.3;77.5;59.9;0.0
52;0;2022-04-28;3141916;3113540;2418535;0;3801797.0;82.6;81.9;63.6;0.0
53;0;2022-04-28;2822519;2795346;2204750;0;3340379.0;84.5;83.7;66.0;0.0
75;0;2022-04-28;4936068;4883610;3809975;0;5999982.0;82.3;81.4;63.5;0.0
76;0;2022-04-28;4626521;4571330;3453325;0;5924858.0;78.1;77.2;58.3;0.0
84;0;2022-04-28;6235489;6174493;4590525;0;8032377.0;77.6;76.9;57.2;0.0
93;0;2022-04-28;3847281;3791016;2778793;0;5055651.0;76.1;75.0;55.0;0.0
94;0;2022-04-28;235688;232178;173404;0;344679.0;68.4;67.4;50.3;0.0
