fra;semaine;nb_pos;nb_crib;tx_crib;nb_A0;nb_A1;tx_A1;nb_C0;nb_C1;tx_C1;nb_D0;nb_D1;tx_D1;nb_A0C0;nb_A01C01;tx_A0C0
FR;2021-12-30-2022-01-05;2017506.00;601962.00;29.84;515216.00;2178.00;0.42;455898.00;76608.00;14.39;49048.00;290447.00;85.55;441364.00;517153.00;85.34
FR;2021-12-31-2022-01-06;2078100.00;570027.00;27.43;480972.00;2068.00;0.43;434056.00;61216.00;12.36;42564.00;283393.00;86.94;422048.00;482828.00;87.41
FR;2022-01-01-2022-01-07;2195945.00;565178.00;25.74;470751.00;1941.00;0.41;430351.00;52760.00;10.92;38712.00;284754.00;88.03;419976.00;472505.00;88.88
FR;2022-01-02-2022-01-08;2444611.00;596070.00;24.38;495369.00;1977.00;0.40;453664.00;53753.00;10.59;39792.00;303586.00;88.41;443628.00;497164.00;89.23
FR;2022-01-03-2022-01-09;2463552.00;587997.00;23.87;487291.00;1897.00;0.39;446249.00;51739.00;10.39;38535.00;300521.00;88.63;437438.00;489007.00;89.45
FR;2022-01-04-2022-01-10;2503463.00;530022.00;21.17;434283.00;1521.00;0.35;404461.00;36998.00;8.38;30362.00;284430.00;90.35;398594.00;435653.00;91.49
FR;2022-01-05-2022-01-11;2506347.00;480714.00;19.18;392482.00;860.00;0.22;369375.00;28516.00;7.17;25205.00;267396.00;91.39;364929.00;393211.00;92.81
FR;2022-01-06-2022-01-12;2558820.00;449449.00;17.56;367455.00;610.00;0.17;349281.00;22738.00;6.11;21111.00;265522.00;92.63;345454.00;367943.00;93.89
FR;2022-01-07-2022-01-13;2589201.00;437526.00;16.90;360498.00;543.00;0.15;345917.00;19199.00;5.26;18567.00;276102.00;93.70;341880.00;360909.00;94.73
FR;2022-01-08-2022-01-14;2637780.00;435278.00;16.50;361173.00;498.00;0.14;353402.00;16060.00;4.35;16252.00;291836.00;94.72;345623.00;361542.00;95.60
FR;2022-01-09-2022-01-15;2686558.00;439351.00;16.35;364309.00;495.00;0.14;361422.00;14732.00;3.92;15222.00;300983.00;95.19;350039.00;364661.00;95.99
FR;2022-01-10-2022-01-16;2713675.00;441423.00;16.27;365614.00;523.00;0.14;365581.00;14468.00;3.81;14933.00;304029.00;95.32;351633.00;366001.00;96.07
FR;2022-01-11-2022-01-17;2826732.00;466047.00;16.49;388420.00;469.00;0.12;396671.00;12377.00;3.03;13618.00;344048.00;96.19;376527.00;388765.00;96.85
FR;2022-01-12-2022-01-18;2923896.00;488394.00;16.70;408656.00;483.00;0.12;423578.00;10595.00;2.44;12362.00;379396.00;96.84;398478.00;408967.00;97.44
FR;2022-01-13-2022-01-19;3020876.00;512274.00;16.96;427638.00;458.00;0.11;448356.00;9443.00;2.06;11580.00;410391.00;97.26;418615.00;427939.00;97.82
FR;2022-01-14-2022-01-20;3108298.00;532367.00;17.13;444344.00;683.00;0.15;470770.00;8490.00;1.77;10636.00;435590.00;97.62;436299.00;444891.00;98.07
FR;2022-01-15-2022-01-21;3182602.00;545727.00;17.15;455815.00;683.00;0.15;484243.00;7475.00;1.52;9772.00;454829.00;97.90;448751.00;456369.00;98.33
FR;2022-01-16-2022-01-22;3236390.00;551447.00;17.04;460805.00;656.00;0.14;490405.00;6983.00;1.40;9297.00;464699.00;98.04;454208.00;461337.00;98.45
FR;2022-01-17-2022-01-23;3247183.00;552507.00;17.01;461768.00;620.00;0.13;491340.00;6896.00;1.38;9192.00;466767.00;98.07;455240.00;462263.00;98.48
FR;2022-01-18-2022-01-24;3314584.00;563226.00;16.99;470768.00;589.00;0.12;501638.00;5613.00;1.11;8110.00;485479.00;98.36;465437.00;471236.00;98.77
FR;2022-01-19-2022-01-25;3301232.00;560907.00;16.99;468516.00;556.00;0.12;499546.00;4851.00;0.96;7404.00;487940.00;98.51;463927.00;468984.00;98.92
FR;2022-01-20-2022-01-26;3268177.00;552245.00;16.90;461073.00;523.00;0.11;492780.00;4159.00;0.84;6668.00;484017.00;98.64;457112.00;461500.00;99.05
FR;2022-01-21-2022-01-27;3218575.00;538016.00;16.72;449606.00;288.00;0.06;481108.00;3460.00;0.71;5977.00;474887.00;98.76;446300.00;449806.00;99.22
FR;2022-01-22-2022-01-28;3156481.00;522272.00;16.55;436129.00;275.00;0.06;467588.00;2943.00;0.63;5343.00;464880.00;98.86;433302.00;436320.00;99.31
FR;2022-01-23-2022-01-29;3101908.00;514239.00;16.58;429685.00;275.00;0.06;460627.00;2639.00;0.57;5077.00;459648.00;98.91;427160.00;429888.00;99.37
FR;2022-01-24-2022-01-30;3075741.00;510136.00;16.59;426477.00;273.00;0.06;457066.00;2538.00;0.55;4988.00;456725.00;98.92;424039.00;426682.00;99.38
