reg;semaine_glissante;pop;P;T;nom_region
08;2020-07-18-2020-07-24;35334;3;173;Saint-Martin
08;2020-07-19-2020-07-25;35334;3;170;Saint-Martin
08;2020-07-20-2020-07-26;35334;3;174;Saint-Martin
08;2020-07-21-2020-07-27;35334;2;162;Saint-Martin
08;2020-07-22-2020-07-28;35334;4;243;Saint-Martin
08;2020-07-23-2020-07-29;35334;4;308;Saint-Martin
08;2020-07-24-2020-07-30;35334;3;288;Saint-Martin
08;2020-07-25-2020-07-31;35334;4;330;Saint-Martin
08;2020-07-26-2020-08-01;35334;5;341;Saint-Martin
08;2020-07-27-2020-08-02;35334;5;338;Saint-Martin
08;2020-07-28-2020-08-03;35334;9;440;Saint-Martin
08;2020-07-29-2020-08-04;35334;10;476;Saint-Martin
08;2020-07-30-2020-08-05;35334;14;510;Saint-Martin
08;2020-07-31-2020-08-06;35334;18;543;Saint-Martin
08;2020-08-01-2020-08-07;35334;25;585;Saint-Martin
08;2020-08-02-2020-08-08;35334;25;579;Saint-Martin
08;2020-08-03-2020-08-09;35334;25;580;Saint-Martin
08;2020-08-04-2020-08-10;35334;25;619;Saint-Martin
08;2020-08-05-2020-08-11;35334;26;581;Saint-Martin
08;2020-08-06-2020-08-12;35334;28;578;Saint-Martin
08;2020-08-07-2020-08-13;35334;38;667;Saint-Martin
08;2020-08-08-2020-08-14;35334;33;610;Saint-Martin
08;2020-08-09-2020-08-15;35334;33;625;Saint-Martin
08;2020-08-10-2020-08-16;35334;38;628;Saint-Martin
08;2020-08-11-2020-08-17;35334;42;527;Saint-Martin
08;2020-08-12-2020-08-18;35334;60;566;Saint-Martin
08;2020-08-13-2020-08-19;35334;64;531;Saint-Martin
08;2020-08-14-2020-08-20;35334;54;443;Saint-Martin
08;2020-08-15-2020-08-21;35334;59;472;Saint-Martin
08;2020-08-16-2020-08-22;35334;59;478;Saint-Martin
08;2020-08-17-2020-08-23;35334;56;479;Saint-Martin
08;2020-08-18-2020-08-24;35334;54;510;Saint-Martin
08;2020-08-19-2020-08-25;35334;41;447;Saint-Martin
08;2020-08-20-2020-08-26;35334;36;467;Saint-Martin
08;2020-08-21-2020-08-27;35334;43;518;Saint-Martin
08;2020-08-22-2020-08-28;35334;43;533;Saint-Martin
08;2020-08-23-2020-08-29;35334;45;532;Saint-Martin
08;2020-08-24-2020-08-30;35334;45;529;Saint-Martin
08;2020-08-25-2020-08-31;35334;48;513;Saint-Martin
08;2020-08-26-2020-09-01;35334;43;490;Saint-Martin
08;2020-08-27-2020-09-02;35334;47;466;Saint-Martin
08;2020-08-28-2020-09-03;35334;39;413;Saint-Martin
08;2020-08-29-2020-09-04;35334;38;352;Saint-Martin
08;2020-08-30-2020-09-05;35334;38;343;Saint-Martin
08;2020-08-31-2020-09-06;35334;36;337;Saint-Martin
08;2020-09-01-2020-09-07;35334;34;294;Saint-Martin
08;2020-09-02-2020-09-08;35334;37;297;Saint-Martin
08;2020-09-03-2020-09-09;35334;39;286;Saint-Martin
08;2020-09-04-2020-09-10;35334;54;285;Saint-Martin
08;2020-09-05-2020-09-11;35334;60;345;Saint-Martin
08;2020-09-06-2020-09-12;35334;59;348;Saint-Martin
08;2020-09-07-2020-09-13;35334;59;351;Saint-Martin
08;2020-09-08-2020-09-14;35334;64;374;Saint-Martin
08;2020-09-09-2020-09-15;35334;66;378;Saint-Martin
08;2020-09-10-2020-09-16;35334;63;411;Saint-Martin
08;2020-09-11-2020-09-17;35334;55;423;Saint-Martin
08;2020-09-12-2020-09-18;35334;50;376;Saint-Martin
08;2020-09-13-2020-09-19;35334;51;365;Saint-Martin
08;2020-09-14-2020-09-20;35334;51;364;Saint-Martin
08;2020-09-15-2020-09-21;35334;50;374;Saint-Martin
08;2020-09-16-2020-09-22;35334;45;366;Saint-Martin
08;2020-09-17-2020-09-23;35334;41;334;Saint-Martin
08;2020-09-18-2020-09-24;35334;37;328;Saint-Martin
08;2020-09-19-2020-09-25;35334;37;347;Saint-Martin
08;2020-09-20-2020-09-26;35334;36;358;Saint-Martin
08;2020-09-21-2020-09-27;35334;36;358;Saint-Martin
08;2020-09-22-2020-09-28;35334;29;343;Saint-Martin
08;2020-09-23-2020-09-29;35334;30;367;Saint-Martin
08;2020-09-24-2020-09-30;35334;30;373;Saint-Martin
08;2020-09-25-2020-10-01;35334;31;355;Saint-Martin
08;2020-09-26-2020-10-02;35334;33;359;Saint-Martin
08;2020-09-27-2020-10-03;35334;33;349;Saint-Martin
08;2020-09-28-2020-10-04;35334;33;350;Saint-Martin
08;2020-09-29-2020-10-05;35334;44;374;Saint-Martin
08;2020-09-30-2020-10-06;35334;54;396;Saint-Martin
