fra;jour;n_dose1;n_complet;n_rappel;n_cum_dose1;n_cum_complet;n_cum_rappel;couv_dose1;couv_complet;couv_rappel
FR;2021-01-23;38455;200;0;1131348;8363;0;1.7;0.0;0.0
FR;2021-01-24;9737;118;0;1141085;8481;0;1.7;0.0;0.0
FR;2021-01-25;78203;1608;0;1219288;10089;0;1.8;0.0;0.0
FR;2021-01-26;100334;3646;0;1319622;13735;0;2.0;0.0;0.0
FR;2021-01-27;107208;6475;0;1426830;20210;0;2.1;0.0;0.0
FR;2021-01-28;124309;15299;0;1551139;35509;0;2.3;0.1;0.0
FR;2021-01-29;92147;17938;0;1643286;53447;0;2.4;0.1;0.0
FR;2021-01-30;29100;4330;0;1672386;57777;0;2.5;0.1;0.0
FR;2021-01-31;5220;1745;0;1677606;59522;0;2.5;0.1;0.0
FR;2021-02-01;53087;21357;0;1730693;80879;0;2.6;0.1;0.0
FR;2021-02-02;72264;35249;0;1802957;116128;0;2.7;0.2;0.0
FR;2021-02-03;72255;37551;0;1875212;153679;0;2.8;0.2;0.0
FR;2021-02-04;82019;50750;0;1957231;204429;0;2.9;0.3;0.0
FR;2021-02-05;68206;45778;0;2025437;250207;0;3.0;0.4;0.0
FR;2021-02-06;23134;10757;0;2048571;260964;0;3.1;0.4;0.0
FR;2021-02-07;5173;5161;0;2053744;266125;0;3.1;0.4;0.0
FR;2021-02-08;46804;46533;0;2100548;312658;0;3.1;0.5;0.0
FR;2021-02-09;65978;73624;0;2166526;386282;0;3.2;0.6;0.0
FR;2021-02-10;70958;78132;0;2237484;464414;0;3.3;0.7;0.0
FR;2021-02-11;87213;100810;0;2324697;565224;0;3.5;0.8;0.0
FR;2021-02-12;79267;75868;0;2403964;641092;0;3.6;1.0;0.0
FR;2021-02-13;22340;19866;0;2426304;660958;0;3.6;1.0;0.0
FR;2021-02-14;5061;7334;0;2431365;668292;0;3.6;1.0;0.0
FR;2021-02-15;38051;77367;0;2469416;745659;0;3.7;1.1;0.0
FR;2021-02-16;50349;101584;0;2519765;847243;0;3.8;1.3;0.0
FR;2021-02-17;50475;104343;0;2570240;951586;0;3.8;1.4;0.0
FR;2021-02-18;69724;120431;0;2639964;1072017;0;3.9;1.6;0.0
FR;2021-02-19;65030;92367;0;2704994;1164384;0;4.0;1.7;0.0
FR;2021-02-20;18567;28723;0;2723561;1193107;0;4.1;1.8;0.0
FR;2021-02-21;3305;6481;0;2726866;1199588;0;4.1;1.8;0.0
FR;2021-02-22;37466;73956;0;2764332;1273544;0;4.1;1.9;0.0
FR;2021-02-23;53751;85429;0;2818083;1358973;0;4.2;2.0;0.0
FR;2021-02-24;59957;82555;0;2878040;1441528;0;4.3;2.1;0.0
FR;2021-02-25;100529;93956;0;2978569;1535484;0;4.4;2.3;0.0
FR;2021-02-26;113408;73881;0;3091977;1609365;0;4.6;2.4;0.0
FR;2021-02-27;52087;23218;0;3144064;1632583;0;4.7;2.4;0.0
FR;2021-02-28;6190;4616;0;3150254;1637199;0;4.7;2.4;0.0
FR;2021-03-01;65798;54677;0;3216052;1691876;0;4.8;2.5;0.0
FR;2021-03-02;101315;69189;0;3317367;1761065;0;4.9;2.6;0.0
FR;2021-03-03;116425;68956;0;3433792;1830021;0;5.1;2.7;0.0
FR;2021-03-04;163555;74589;0;3597347;1904610;0;5.4;2.8;0.0
FR;2021-03-05;200861;69788;0;3798208;1974398;0;5.7;2.9;0.0
FR;2021-03-06;207910;23081;0;4006118;1997479;0;6.0;3.0;0.0
FR;2021-03-07;121241;8656;0;4127359;2006135;0;6.1;3.0;0.0
FR;2021-03-08;107098;54064;0;4234457;2060199;0;6.3;3.1;0.0
FR;2021-03-09;172382;62004;0;4406839;2122203;0;6.6;3.2;0.0
FR;2021-03-10;178893;62700;0;4585732;2184903;0;6.8;3.3;0.0
FR;2021-03-11;242772;71122;0;4828504;2256025;0;7.2;3.4;0.0
FR;2021-03-12;294749;62792;0;5123253;2318817;0;7.6;3.5;0.0
FR;2021-03-13;231352;21271;0;5354605;2340088;0;8.0;3.5;0.0
FR;2021-03-14;63328;5456;0;5417933;2345544;0;8.1;3.5;0.0
FR;2021-03-15;158576;37172;0;5576509;2382716;0;8.3;3.6;0.0
FR;2021-03-16;141516;43530;0;5718025;2426246;0;8.5;3.6;0.0
FR;2021-03-17;150401;43344;0;5868426;2469590;0;8.7;3.7;0.0
FR;2021-03-18;167747;50077;0;6036173;2519667;0;9.0;3.8;0.0
FR;2021-03-19;229934;44673;0;6266107;2564340;0;9.3;3.8;0.0
FR;2021-03-20;166628;16327;0;6432735;2580667;0;9.6;3.8;0.0
FR;2021-03-21;49903;4354;0;6482638;2585021;0;9.7;3.9;0.0
FR;2021-03-22;169945;39645;0;6652583;2624666;0;9.9;3.9;0.0
FR;2021-03-23;250290;50196;0;6902873;2674862;0;10.3;4.0;0.0
FR;2021-03-24;256819;51813;0;7159692;2726675;0;10.7;4.1;0.0
FR;2021-03-25;341725;55640;0;7501417;2782315;0;11.2;4.1;0.0
FR;2021-03-26;358727;53536;0;7860144;2835851;0;11.7;4.2;0.0
FR;2021-03-27;195222;23093;0;8055366;2858944;0;12.0;4.3;0.0
FR;2021-03-28;59310;5925;0;8114676;2864869;0;12.1;4.3;0.0
FR;2021-03-29;202909;60831;0;8317585;2925700;0;12.4;4.4;0.0
FR;2021-03-30;285363;79902;0;8602948;3005602;0;12.8;4.5;0.0
FR;2021-03-31;262929;83498;0;8865877;3089100;0;13.2;4.6;0.0
FR;2021-04-01;315316;101632;0;9181193;3190732;0;13.7;4.8;0.0
FR;2021-04-02;281249;103925;0;9462442;3294657;0;14.1;4.9;0.0
FR;2021-04-03;141030;66998;0;9603472;3361655;0;14.3;5.0;0.0
FR;2021-04-04;46310;20707;0;9649782;3382362;0;14.4;5.0;0.0
FR;2021-04-05;63278;13589;0;9713060;3395951;0;14.5;5.1;0.0
FR;2021-04-06;217084;116807;0;9930144;3512758;0;14.8;5.2;0.0
FR;2021-04-07;260149;126485;0;10190293;3639243;0;15.2;5.4;0.0
FR;2021-04-08;337669;136785;0;10527962;3776028;0;15.7;5.6;0.0
FR;2021-04-09;410047;133618;0;10938009;3909646;0;16.3;5.8;0.0
FR;2021-04-10;212560;90948;0;11150569;4000594;0;16.6;6.0;0.0
FR;2021-04-11;56050;37024;0;11206619;4037618;0;16.7;6.0;0.0
FR;2021-04-12;236902;124557;0;11443521;4162175;0;17.1;6.2;0.0
FR;2021-04-13;309362;157490;0;11752883;4319665;0;17.5;6.4;0.0
FR;2021-04-14;294379;152443;0;12047262;4472108;0;18.0;6.7;0.0
FR;2021-04-15;336962;163195;0;12384224;4635303;0;18.5;6.9;0.0
FR;2021-04-16;339186;160153;0;12723410;4795456;0;19.0;7.1;0.0
FR;2021-04-17;188610;97758;0;12912020;4893214;0;19.2;7.3;0.0
FR;2021-04-18;51563;37822;0;12963583;4931036;0;19.3;7.3;0.0
FR;2021-04-19;205596;147219;0;13169179;5078255;0;19.6;7.6;0.0
FR;2021-04-20;254291;182067;0;13423470;5260322;0;20.0;7.8;0.0
FR;2021-04-21;253108;180667;0;13676578;5440989;0;20.4;8.1;0.0
FR;2021-04-22;287361;202740;0;13963939;5643729;0;20.8;8.4;0.0
FR;2021-04-23;297967;202219;0;14261906;5845948;0;21.2;8.7;0.0
FR;2021-04-24;190404;121883;0;14452310;5967831;0;21.5;8.9;0.0
FR;2021-04-25;69461;42554;0;14521771;6010385;0;21.6;9.0;0.0
FR;2021-04-26;220849;169119;0;14742620;6179504;0;22.0;9.2;0.0
FR;2021-04-27;284500;210503;0;15027120;6390007;0;22.4;9.5;0.0
FR;2021-04-28;299391;208086;1;15326511;6598093;1;22.8;9.8;0.0
FR;2021-04-29;357012;231080;0;15683523;6829173;1;23.4;10.2;0.0
FR;2021-04-30;372106;223903;0;16055629;7053076;1;23.9;10.5;0.0
FR;2021-05-01;167541;63749;0;16223170;7116825;1;24.2;10.6;0.0
FR;2021-05-02;91632;43475;0;16314802;7160300;1;24.3;10.7;0.0
FR;2021-05-03;288762;189727;0;16603564;7350027;1;24.7;11.0;0.0
FR;2021-05-04;315510;250335;0;16919074;7600362;1;25.2;11.3;0.0
FR;2021-05-05;327006;249352;0;17246080;7849714;1;25.7;11.7;0.0
FR;2021-05-06;379346;273234;0;17625426;8122948;1;26.3;12.1;0.0
FR;2021-05-07;372617;298027;0;17998043;8420975;1;26.8;12.5;0.0
FR;2021-05-08;222103;82073;0;18220146;8503048;1;27.1;12.7;0.0
FR;2021-05-09;129646;55245;0;18349792;8558293;1;27.3;12.8;0.0
FR;2021-05-10;313167;254376;0;18662959;8812669;1;27.8;13.1;0.0
FR;2021-05-11;403745;296190;0;19066704;9108859;1;28.4;13.6;0.0
FR;2021-05-12;433944;269197;0;19500648;9378056;1;29.1;14.0;0.0
FR;2021-05-13;338485;78443;0;19839133;9456499;1;29.6;14.1;0.0
FR;2021-05-14;453999;202704;0;20293132;9659203;1;30.2;14.4;0.0
FR;2021-05-15;374786;120284;0;20667918;9779487;1;30.8;14.6;0.0
FR;2021-05-16;202676;34168;0;20870594;9813655;1;31.1;14.6;0.0
FR;2021-05-17;375967;178650;0;21246561;9992305;1;31.7;14.9;0.0
FR;2021-05-18;459816;192093;0;21706377;10184398;1;32.3;15.2;0.0
FR;2021-05-19;467253;182263;0;22173630;10366661;1;33.0;15.4;0.0
FR;2021-05-20;507331;204117;0;22680961;10570778;1;33.8;15.8;0.0
FR;2021-05-21;489509;220816;0;23170470;10791594;1;34.5;16.1;0.0
FR;2021-05-22;347104;108214;0;23517574;10899808;1;35.0;16.2;0.0
FR;2021-05-23;161618;26903;0;23679192;10926711;1;35.3;16.3;0.0
FR;2021-05-24;263103;53042;0;23942295;10979753;1;35.7;16.4;0.0
FR;2021-05-25;400028;225597;0;24342323;11205350;1;36.3;16.7;0.0
FR;2021-05-26;413313;226103;0;24755636;11431453;1;36.9;17.0;0.0
FR;2021-05-27;449652;265534;0;25205288;11696987;1;37.6;17.4;0.0
FR;2021-05-28;429407;317303;0;25634695;12014290;1;38.2;17.9;0.0
FR;2021-05-29;298919;182072;0;25933614;12196362;1;38.6;18.2;0.0
FR;2021-05-30;107060;42147;0;26040674;12238509;1;38.8;18.2;0.0
FR;2021-05-31;357868;241690;1;26398542;12480199;2;39.3;18.6;0.0
FR;2021-06-01;430470;302890;1;26829012;12783089;3;40.0;19.0;0.0
FR;2021-06-02;418843;278010;0;27247855;13061099;3;40.6;19.5;0.0
FR;2021-06-03;463987;313063;0;27711842;13374162;3;41.3;19.9;0.0
FR;2021-06-04;455392;361918;1;28167234;13736080;4;42.0;20.5;0.0
FR;2021-06-05;304698;222110;0;28471932;13958190;4;42.4;20.8;0.0
FR;2021-06-06;133202;61272;0;28605134;14019462;4;42.6;20.9;0.0
FR;2021-06-07;338530;299146;0;28943664;14318608;4;43.1;21.3;0.0
FR;2021-06-08;393473;337721;0;29337137;14656329;4;43.7;21.8;0.0
FR;2021-06-09;384536;319964;0;29721673;14976293;4;44.3;22.3;0.0
FR;2021-06-10;403845;338469;0;30125518;15314762;4;44.9;22.8;0.0
FR;2021-06-11;386373;407541;0;30511891;15722303;4;45.5;23.4;0.0
FR;2021-06-12;283155;243358;0;30795046;15965661;4;45.9;23.8;0.0
FR;2021-06-13;104809;85004;0;30899855;16050665;4;46.0;23.9;0.0
FR;2021-06-14;240615;384817;0;31140470;16435482;4;46.4;24.5;0.0
FR;2021-06-15;307873;424434;0;31448343;16859916;4;46.9;25.1;0.0
FR;2021-06-16;313758;395516;0;31762101;17255432;4;47.3;25.7;0.0
FR;2021-06-17;317471;413305;0;32079572;17668737;4;47.8;26.3;0.0
FR;2021-06-18;321499;485636;0;32401071;18154373;4;48.3;27.0;0.0
FR;2021-06-19;224288;300893;0;32625359;18455266;4;48.6;27.5;0.0
FR;2021-06-20;74344;111782;0;32699703;18567048;4;48.7;27.7;0.0
FR;2021-06-21;195527;427781;1;32895230;18994829;5;49.0;28.3;0.0
FR;2021-06-22;222957;499900;2;33118187;19494729;7;49.3;29.0;0.0
FR;2021-06-23;233805;473971;1;33351992;19968700;8;49.7;29.8;0.0
FR;2021-06-24;241671;446944;0;33593663;20415644;8;50.1;30.4;0.0
FR;2021-06-25;227396;561063;0;33821059;20976707;8;50.4;31.3;0.0
FR;2021-06-26;153140;395449;0;33974199;21372156;8;50.6;31.8;0.0
FR;2021-06-27;55846;165186;0;34030045;21537342;8;50.7;32.1;0.0
FR;2021-06-28;154563;478526;0;34184608;22015868;8;50.9;32.8;0.0
FR;2021-06-29;182497;538077;0;34367105;22553945;8;51.2;33.6;0.0
FR;2021-06-30;203766;515916;2;34570871;23069861;10;51.5;34.4;0.0
FR;2021-07-01;230894;497906;1;34801765;23567767;11;51.9;35.1;0.0
FR;2021-07-02;227867;562684;3;35029632;24130451;14;52.2;36.0;0.0
FR;2021-07-03;141868;395322;1;35171500;24525773;15;52.4;36.5;0.0
FR;2021-07-04;56677;150998;0;35228177;24676771;15;52.5;36.8;0.0
FR;2021-07-05;168061;449459;2;35396238;25126230;17;52.7;37.4;0.0
FR;2021-07-06;196420;511589;8;35592658;25637819;25;53.0;38.2;0.0
FR;2021-07-07;212734;477967;5;35805392;26115786;30;53.3;38.9;0.0
FR;2021-07-08;231290;468303;8;36036682;26584089;38;53.7;39.6;0.0
FR;2021-07-09;228240;556840;2;36264922;27140929;40;54.0;40.4;0.0
FR;2021-07-10;148479;368897;1;36413401;27509826;41;54.3;41.0;0.0
FR;2021-07-11;60111;121091;0;36473512;27630917;41;54.3;41.2;0.0
FR;2021-07-12;168895;513184;0;36642407;28144101;41;54.6;41.9;0.0
FR;2021-07-13;286985;586789;2;36929392;28730890;43;55.0;42.8;0.0
FR;2021-07-14;180780;187241;0;37110172;28918131;43;55.3;43.1;0.0
FR;2021-07-15;346728;572814;0;37456900;29490945;43;55.8;43.9;0.0
FR;2021-07-16;379765;575507;1;37836665;30066452;44;56.4;44.8;0.0
FR;2021-07-17;259603;368983;0;38096268;30435435;44;56.8;45.3;0.0
FR;2021-07-18;109647;133367;0;38205915;30568802;44;56.9;45.5;0.0
FR;2021-07-19;285242;480500;0;38491157;31049302;44;57.4;46.3;0.0
FR;2021-07-20;376655;525186;0;38867812;31574488;44;57.9;47.0;0.0
FR;2021-07-21;395538;483337;2;39263350;32057825;46;58.5;47.8;0.0
FR;2021-07-22;440698;473139;2;39704048;32530964;48;59.2;48.5;0.0
FR;2021-07-23;438537;511615;2;40142585;33042579;50;59.8;49.2;0.0
FR;2021-07-24;285144;322436;0;40427729;33365015;50;60.2;49.7;0.0
FR;2021-07-25;121018;100500;0;40548747;33465515;50;60.4;49.9;0.0
FR;2021-07-26;347192;386235;2;40895939;33851750;52;60.9;50.4;0.0
FR;2021-07-27;463806;401932;2;41359745;34253682;54;61.6;51.0;0.0
FR;2021-07-28;459228;368106;2;41818973;34621788;56;62.3;51.6;0.0
FR;2021-07-29;489574;358286;1;42308547;34980074;57;63.0;52.1;0.0
FR;2021-07-30;461502;381883;2;42770049;35361957;59;63.7;52.7;0.0
FR;2021-07-31;285294;231715;0;43055343;35593672;59;64.2;53.0;0.0
FR;2021-08-01;111897;65851;0;43167240;35659523;59;64.3;53.1;0.0
FR;2021-08-02;341019;285725;0;43508259;35945248;59;64.8;53.6;0.0
FR;2021-08-03;398244;305631;1;43906503;36250879;60;65.4;54.0;0.0
FR;2021-08-04;384435;266692;3;44290938;36517571;63;66.0;54.4;0.0
FR;2021-08-05;365822;282737;0;44656760;36800308;63;66.5;54.8;0.0
FR;2021-08-06;359396;327605;1;45016156;37127913;64;67.1;55.3;0.0
FR;2021-08-07;212966;210307;3;45229122;37338220;67;67.4;55.6;0.0
FR;2021-08-08;74097;73775;0;45303219;37411995;67;67.5;55.7;0.0
FR;2021-08-09;258480;298953;3;45561699;37710948;70;67.9;56.2;0.0
FR;2021-08-10;306469;325159;1;45868168;38036107;71;68.3;56.7;0.0
FR;2021-08-11;279403;302919;1;46147571;38339026;72;68.8;57.1;0.0
FR;2021-08-12;271199;321440;1;46418770;38660466;73;69.2;57.6;0.0
FR;2021-08-13;251937;317063;2;46670707;38977529;75;69.5;58.1;0.0
FR;2021-08-14;145240;219503;0;46815947;39197032;75;69.8;58.4;0.0
FR;2021-08-15;39249;55733;0;46855196;39252765;75;69.8;58.5;0.0
FR;2021-08-16;185881;346523;0;47041077;39599288;75;70.1;59.0;0.0
FR;2021-08-17;215483;370243;1;47256560;39969531;76;70.4;59.6;0.0
FR;2021-08-18;198792;355583;4;47455352;40325114;80;70.7;60.1;0.0
FR;2021-08-19;191775;356658;0;47647127;40681772;80;71.0;60.6;0.0
FR;2021-08-20;186180;396683;2;47833307;41078455;82;71.3;61.2;0.0
FR;2021-08-21;104702;254805;0;47938009;41333260;82;71.4;61.6;0.0
FR;2021-08-22;31865;92235;1;47969874;41425495;83;71.5;61.7;0.0
FR;2021-08-23;140827;380363;2;48110701;41805858;85;71.7;62.3;0.0
FR;2021-08-24;162332;403828;1;48273033;42209686;86;71.9;62.9;0.0
FR;2021-08-25;150960;376340;3;48423993;42586026;89;72.2;63.5;0.0
FR;2021-08-26;142670;368669;1;48566663;42954695;90;72.4;64.0;0.0
FR;2021-08-27;148233;415553;4;48714896;43370248;94;72.6;64.6;0.0
FR;2021-08-28;90553;265464;0;48805449;43635712;94;72.7;65.0;0.0
FR;2021-08-29;27289;88458;0;48832738;43724170;94;72.8;65.1;0.0
FR;2021-08-30;117276;342663;6076;48950014;44066833;6170;72.9;65.7;0.0
FR;2021-08-31;128626;354266;11905;49078640;44421099;18075;73.1;66.2;0.0
FR;2021-09-01;135082;302748;24220;49213722;44723847;42295;73.3;66.6;0.1
FR;2021-09-02;112166;262630;28813;49325888;44986477;71108;73.5;67.0;0.1
FR;2021-09-03;117930;309861;32916;49443818;45296338;104024;73.7;67.5;0.2
FR;2021-09-04;89699;230719;14023;49533517;45527057;118047;73.8;67.8;0.2
FR;2021-09-05;21318;48384;4727;49554835;45575441;122774;73.8;67.9;0.2
FR;2021-09-06;75146;191393;34151;49629981;45766834;156925;73.9;68.2;0.2
FR;2021-09-07;79456;191657;36033;49709437;45958491;192958;74.1;68.5;0.3
FR;2021-09-08;88725;217058;32316;49798162;46175549;225274;74.2;68.8;0.3
FR;2021-09-09;75777;174603;36391;49873939;46350152;261665;74.3;69.1;0.4
FR;2021-09-10;95049;215342;40379;49968988;46565494;302044;74.5;69.4;0.5
FR;2021-09-11;66290;178402;14198;50035278;46743896;316242;74.6;69.6;0.5
FR;2021-09-12;12733;34200;3148;50048011;46778096;319390;74.6;69.7;0.5
FR;2021-09-13;64297;134966;43807;50112308;46913062;363197;74.7;69.9;0.5
FR;2021-09-14;73204;136642;61716;50185512;47049704;424913;74.8;70.1;0.6
FR;2021-09-15;76253;174855;54695;50261765;47224559;479608;74.9;70.4;0.7
FR;2021-09-16;63626;117980;59928;50325391;47342539;539536;75.0;70.5;0.8
FR;2021-09-17;74861;159839;57152;50400252;47502378;596688;75.1;70.8;0.9
FR;2021-09-18;48135;144305;17270;50448387;47646683;613958;75.2;71.0;0.9
FR;2021-09-19;7841;24932;2619;50456228;47671615;616577;75.2;71.0;0.9
FR;2021-09-20;44371;96458;50161;50500599;47768073;666738;75.2;71.2;1.0
FR;2021-09-21;45735;98557;63234;50546334;47866630;729972;75.3;71.3;1.1
FR;2021-09-22;48504;144766;55232;50594838;48011396;785204;75.4;71.5;1.2
FR;2021-09-23;43069;91204;63299;50637907;48102600;848503;75.4;71.7;1.3
FR;2021-09-24;52098;132250;59010;50690005;48234850;907513;75.5;71.9;1.4
FR;2021-09-25;35132;118481;18230;50725137;48353331;925743;75.6;72.0;1.4
FR;2021-09-26;5511;18693;2343;50730648;48372024;928086;75.6;72.1;1.4
FR;2021-09-27;33882;78903;48085;50764530;48450927;976171;75.6;72.2;1.5
FR;2021-09-28;36403;74447;56346;50800933;48525374;1032517;75.7;72.3;1.5
FR;2021-09-29;44275;103015;54736;50845208;48628389;1087253;75.8;72.5;1.6
FR;2021-09-30;36144;71071;59368;50881352;48699460;1146621;75.8;72.6;1.7
FR;2021-10-01;61053;99403;63630;50942405;48798863;1210251;75.9;72.7;1.8
FR;2021-10-02;39296;81615;23289;50981701;48880478;1233540;76.0;72.8;1.8
FR;2021-10-03;5236;11322;2558;50986937;48891800;1236098;76.0;72.8;1.8
FR;2021-10-04;34719;59545;54748;51021656;48951345;1290846;76.0;72.9;1.9
FR;2021-10-05;33166;62194;64836;51054822;49013539;1355682;76.1;73.0;2.0
FR;2021-10-06;42155;80124;68128;51096977;49093663;1423810;76.1;73.1;2.1
FR;2021-10-07;30247;59358;68612;51127224;49153021;1492422;76.2;73.2;2.2
FR;2021-10-08;48410;89833;84529;51175634;49242854;1576951;76.3;73.4;2.3
FR;2021-10-09;33507;64072;33835;51209141;49306926;1610786;76.3;73.5;2.4
FR;2021-10-10;4550;7867;3474;51213691;49314793;1614260;76.3;73.5;2.4
FR;2021-10-11;30400;50644;63992;51244091;49365437;1678252;76.4;73.6;2.5
FR;2021-10-12;31159;51436;75747;51275250;49416873;1753999;76.4;73.6;2.6
FR;2021-10-13;39842;62763;79201;51315092;49479636;1833200;76.5;73.7;2.7
FR;2021-10-14;30148;49695;73672;51345240;49529331;1906872;76.5;73.8;2.8
FR;2021-10-15;44599;70288;102860;51389839;49599619;2009732;76.6;73.9;3.0
FR;2021-10-16;31183;46716;39588;51421022;49646335;2049320;76.6;74.0;3.1
FR;2021-10-17;3808;5671;3689;51424830;49652006;2053009;76.6;74.0;3.1
FR;2021-10-18;27237;42285;71310;51452067;49694291;2124319;76.7;74.0;3.2
FR;2021-10-19;26861;40788;81577;51478928;49735079;2205896;76.7;74.1;3.3
FR;2021-10-20;35105;51755;101379;51514033;49786834;2307275;76.8;74.2;3.4
FR;2021-10-21;25760;41956;89059;51539793;49828790;2396334;76.8;74.2;3.6
FR;2021-10-22;38135;59132;112408;51577928;49887922;2508742;76.9;74.3;3.7
FR;2021-10-23;26892;42399;48580;51604820;49930321;2557322;76.9;74.4;3.8
FR;2021-10-24;2902;4996;3939;51607722;49935317;2561261;76.9;74.4;3.8
FR;2021-10-25;25932;35574;86565;51633654;49970891;2647826;76.9;74.5;3.9
FR;2021-10-26;23627;32215;92245;51657281;50003106;2740071;77.0;74.5;4.1
FR;2021-10-27;29954;44195;114572;51687235;50047301;2854643;77.0;74.6;4.3
FR;2021-10-28;23277;31133;94310;51710512;50078434;2948953;77.0;74.6;4.4
FR;2021-10-29;31448;46207;125176;51741960;50124641;3074129;77.1;74.7;4.6
FR;2021-10-30;20388;32793;53337;51762348;50157434;3127466;77.1;74.7;4.7
FR;2021-10-31;2470;3898;3870;51764818;50161332;3131336;77.1;74.7;4.7
FR;2021-11-01;7964;4877;3544;51772782;50166209;3134880;77.1;74.7;4.7
FR;2021-11-02;24988;36271;99408;51797770;50202480;3234288;77.2;74.8;4.8
FR;2021-11-03;29511;43450;125710;51827281;50245930;3359998;77.2;74.9;5.0
FR;2021-11-04;23541;31574;114271;51850822;50277504;3474269;77.3;74.9;5.2
FR;2021-11-05;32140;44544;151177;51882962;50322048;3625446;77.3;75.0;5.4
FR;2021-11-06;21375;32418;68179;51904337;50354466;3693625;77.3;75.0;5.5
FR;2021-11-07;2360;4071;5588;51906697;50358537;3699213;77.3;75.0;5.5
FR;2021-11-08;20146;31069;134101;51926843;50389606;3833314;77.4;75.1;5.7
FR;2021-11-09;21988;33098;172035;51948831;50422704;4005349;77.4;75.1;6.0
FR;2021-11-10;31162;43989;198564;51979993;50466693;4203913;77.4;75.2;6.3
FR;2021-11-11;3934;5536;13887;51983927;50472229;4217800;77.5;75.2;6.3
FR;2021-11-12;28904;41874;197197;52012831;50514103;4414997;77.5;75.3;6.6
FR;2021-11-13;20215;28310;86261;52033046;50542413;4501258;77.5;75.3;6.7
FR;2021-11-14;2301;3439;7879;52035347;50545852;4509137;77.5;75.3;6.7
FR;2021-11-15;20160;28067;171377;52055507;50573919;4680514;77.6;75.4;7.0
FR;2021-11-16;23155;27948;214758;52078662;50601867;4895272;77.6;75.4;7.3
FR;2021-11-17;30202;36668;212731;52108864;50638535;5108003;77.6;75.5;7.6
FR;2021-11-18;23211;27759;205327;52132075;50666294;5313330;77.7;75.5;7.9
FR;2021-11-19;33488;40045;261975;52165563;50706339;5575305;77.7;75.6;8.3
FR;2021-11-20;25240;29308;109624;52190803;50735647;5684929;77.8;75.6;8.5
FR;2021-11-21;2613;3492;10656;52193416;50739139;5695585;77.8;75.6;8.5
FR;2021-11-22;22671;19082;194694;52216087;50758221;5890279;77.8;75.6;8.8
FR;2021-11-23;25421;24348;247582;52241508;50782569;6137861;77.8;75.7;9.1
FR;2021-11-24;31679;34710;243061;52273187;50817279;6380922;77.9;75.7;9.5
FR;2021-11-25;25294;25014;277521;52298481;50842293;6658443;77.9;75.8;9.9
FR;2021-11-26;33077;37479;414470;52331558;50879772;7072913;78.0;75.8;10.5
FR;2021-11-27;23179;28465;236521;52354737;50908237;7309434;78.0;75.9;10.9
FR;2021-11-28;3471;4117;63341;52358208;50912354;7372775;78.0;75.9;11.0
FR;2021-11-29;19303;23400;371464;52377511;50935754;7744239;78.0;75.9;11.5
FR;2021-11-30;24428;27050;500572;52401939;50962804;8244811;78.1;75.9;12.3
FR;2021-12-01;26111;31690;511082;52428050;50994494;8755893;78.1;76.0;13.0
FR;2021-12-02;21803;21234;574617;52449853;51015728;9330510;78.1;76.0;13.9
FR;2021-12-03;25340;34028;650859;52475193;51049756;9981369;78.2;76.1;14.9
FR;2021-12-04;18252;25829;369626;52493445;51075585;10350995;78.2;76.1;15.4
